cluster,count
Adaptive / Maladaptive / Repairing Proximal Tubule Epithelial Cell,26027
Degenerative Proximal Tubule Epithelial Cell,25023
Cortical Thick Ascending Limb Cell,23767
Proximal Tubule Epithelial Cell Segment 1 / Segment 2,17623
Adaptive / Maladaptive / Repairing Thick Ascending Limb Cell,14924
Degenerative Medullary Thick Ascending Limb Cell,11109
Degenerative Outer Medullary Collecting Duct Principal Cell,9801
Peritubular Capilary Endothelial Cell ,9195
Medullary Thick Ascending Limb Cell,8876
Distal Convoluted Tubule Cell Type 1,7763
Cortical Collecting Duct Intercalated Cell Type A,7673
T Cell,7118
Connecting Tubule Cell,7024
Proximal Tubule Epithelial Cell Segment 3,6549
Medullary Fibroblast,6138
Fibroblast,5591
Ascending Vasa Recta Endothelial Cell,5132
Descending Thin Limb Cell Type 1,4700
Degenerative Distal Convoluted Tubule Cell,4551
Monocyte-derived Cell,4441
Cortical Collecting Duct Principal Cell,4361
Inner Medullary Collecting Duct Cell,4287
Descending Vasa Recta Endothelial Cell,4286
Natural Killer Cell / Natural Killer T Cell,4201
Macula Densa Cell,4115
Connecting Tubule Principal Cell,3975
Glomerular Capillary Endothelial Cell,3764
M2 Macrophage,3533
Degenerative Cortical Thick Ascending Limb Cell,3466
Vascular Smooth Muscle Cell / Pericyte,3449
Intercalated Cell Type B,3216
Degenerative Cortical Intercalated Cell Type A,3194
Descending Thin Limb Cell Type 2,3130
Outer Medullary Collecting Duct Principal Cell,2897
Non-classical Monocyte,2435
Podocyte,2420
Parietal Epithelial Cell,2417
Ascending Thin Limb Cell,2230
B Cell,2194
Degenerative Connecting Tubule Cell,2178
Myofibroblast,2054
Degenerative Inner Medullary Collecting Duct Cell,1893
Outer Medullary Collecting Duct Intercalated Cell Type A,1845
Afferent / Efferent Arteriole Endothelial Cell,1705
Descending Thin Limb Cell Type 3,1550
Adaptive / Maladaptive / Repairing Fibroblast,1516
Degenerative Vascular Smooth Muscle Cell,1461
Transitional Principal-Intercalated Cell,1409
Plasma Cell,1353
Vascular Smooth Muscle Cell,1233
Degenerative Ascending Thin Limb Cell,1154
Neutrophil,860
Distal Convoluted Tubule Cell Type 2,827
Cycling Proximal Tubule Epithelial Cell,809
Degenerative Medullary Fibroblast,714
Connecting Tubule Intercalated Cell Type A,664
Papillary Tip Epithelial Cell,531
Degenerative Fibroblast,469
Lymphatic Endothelial Cell,463
Mesangial Cell,458
Degenerative Podocyte,412
Degenerative Descending Thin Limb Cell Type 3,406
Mast Cell,400
Degenerative Peritubular Capilary Endothelial Cell,269
Degenerative Endothelial Cell,236
Classical Dendritic Cell,216
Cycling Mononuclear Phagocyte,215
Cycling Natural Killer Cell / Natural Killer T Cell,165
Cycling Endothelial Cell,125
Renin-positive Juxtaglomerular Granular Cell,106
Schwann Cell / Neural,77
Plasmacytoid Dendritic Cell,75
Cycling Distal Convoluted Tubule Cell,75
Cycling Connecting Tubule Cell,68
Cycling Myofibroblast,66
