subclass.full,mean_silhouette,std_silhouette,median_silhouette,count
Adaptive / Maladaptive / Repairing Fibroblast,0.5962200129794175,0.24175781934721702,0.6762683708846334,423
Adaptive / Maladaptive / Repairing Proximal Tubule Epithelial Cell,0.2839438230533693,0.28679474532169213,0.35663092523988116,5867
Adaptive / Maladaptive / Repairing Thick Ascending Limb Cell,0.10666298093078311,0.31403854738351805,0.21510587914792478,2757
Afferent / Efferent Arteriole Endothelial Cell,0.2647104255779668,0.32145785024764034,0.43735974935997285,559
Ascending Thin Limb Cell,0.3996489807648232,0.30506832083846247,0.5505230850499725,1764
Ascending Vasa Recta Endothelial Cell,0.5488680569216056,0.22935950110128972,0.6578010677358308,2454
B Cell,0.1655512761540002,0.27345419067482635,0.26669366697477664,422
Classical Dendritic Cell,0.7450150598917105,0.12466595343412921,0.8000089368015398,57
Connecting Tubule Cell,0.186239956047638,0.3162972418742826,0.29104352445471293,2944
Connecting Tubule Intercalated Cell Type A,0.20325104229651061,0.3125355013059051,0.30864730114767935,110
Connecting Tubule Principal Cell,-0.027555772601045546,0.32028264592321704,0.021590287262852337,2140
Cortical Collecting Duct Intercalated Cell Type A,0.4938411641995384,0.27260369316352806,0.5976408984709645,3512
Cortical Collecting Duct Principal Cell,0.21201062576326804,0.3707511688649008,0.3808030898317278,2470
Cortical Thick Ascending Limb Cell,0.3194766996360393,0.31603242870981785,0.4436737826906507,7215
Cycling Connecting Tubule Cell,-0.2736221584147872,0.2832822913758943,-0.3495419996619833,11
Cycling Distal Convoluted Tubule Cell,-0.37762897578258886,0.12984265924273047,-0.4367638724826921,6
Cycling Endothelial Cell,-0.06965896789385331,0.35564319027435115,0.09371069574493451,54
Cycling Mononuclear Phagocyte,-0.35816762256100254,0.3222578653217202,-0.2195845197521976,47
Cycling Myofibroblast,0.21675723639994382,0.3322292516555512,0.32446374651490617,18
Cycling Natural Killer Cell / Natural Killer T Cell,-0.047590463325611884,0.3520779256191651,0.010828185988819482,16
Cycling Proximal Tubule Epithelial Cell,-0.716445897665926,0.1332807273207822,-0.6979643804722363,141
Degenerative Ascending Thin Limb Cell,-0.37278792064166266,0.14965197005704395,-0.37997725820726763,1090
Degenerative Connecting Tubule Cell,0.10930917107701914,0.28382707871477736,0.19361819744388242,356
Degenerative Cortical Intercalated Cell Type A,-0.4436763189478859,0.15558516009669862,-0.3922121599902414,1031
Degenerative Cortical Thick Ascending Limb Cell,0.5147939773938464,0.40309689485982164,0.666027076637197,344
Degenerative Descending Thin Limb Cell Type 3,0.4272990310451225,0.23532810140117066,0.5229849081631495,399
Degenerative Distal Convoluted Tubule Cell,-0.06228943322403445,0.24730919290624298,0.014997245019795661,1535
Degenerative Endothelial Cell,-0.22016327958202972,0.1858770738218756,-0.14653331115906193,70
Degenerative Fibroblast,0.44415140935993885,0.34595533251345933,0.5624130988952961,90
Degenerative Inner Medullary Collecting Duct Cell,-0.023953733331619407,0.2676044106259695,0.024602716582275946,1764
Degenerative Medullary Fibroblast,0.543667649148444,0.242534346878362,0.619715047129949,655
Degenerative Medullary Thick Ascending Limb Cell,-0.6992451226386761,0.09235093197730086,-0.7177330947709879,712
Degenerative Outer Medullary Collecting Duct Principal Cell,-0.02557801917253133,0.3038470853886643,0.08967298474338126,1449
Degenerative Peritubular Capilary Endothelial Cell,0.19658809065917354,0.22099368620501889,0.23129559337346575,126
Degenerative Podocyte,0.4836656386995181,0.23054787659371512,0.5570501008488689,192
Degenerative Proximal Tubule Epithelial Cell,-0.3057444330184418,0.18949680520739431,-0.3222596360144764,7586
Degenerative Vascular Smooth Muscle Cell,-0.2706715012809895,0.14052789484729641,-0.2822390534463243,762
Descending Thin Limb Cell Type 1,0.385282664920658,0.2870294099736521,0.5025888961479962,1233
Descending Thin Limb Cell Type 2,0.45992206429654203,0.29377066502730176,0.5825467359568866,814
Descending Thin Limb Cell Type 3,0.4584834081053624,0.24509592860120383,0.548372775110787,1388
Descending Vasa Recta Endothelial Cell,0.158902389667654,0.24079313027290264,0.22527561764412135,1809
Distal Convoluted Tubule Cell Type 1,0.061833419880903615,0.22389379735827783,0.09780810648779942,3550
Distal Convoluted Tubule Cell Type 2,0.5256636121360043,0.149561725881283,0.5724875729510849,363
Fibroblast,0.42355464996880215,0.23000370919688068,0.501577229621013,1864
Glomerular Capillary Endothelial Cell,0.7300463379799675,0.1544583838009445,0.7707219246493715,1826
Inner Medullary Collecting Duct Cell,0.6741797234081229,0.17774898672790482,0.7376971328625894,4094
Intercalated Cell Type B,0.6612648788042025,0.29118084298073166,0.7607982351315283,1112
Lymphatic Endothelial Cell,0.5764855756935074,0.3524786141228069,0.6734605444379727,130
M2 Macrophage,0.5472466041068946,0.24354163917884683,0.6412170167107708,1285
Macula Densa Cell,0.6068136496413927,0.22129092897061606,0.6813266742008094,1185
Mast Cell,-0.27005570426007736,0.22058732224128966,-0.20080089436885618,112
Medullary Fibroblast,0.2576053887100406,0.29457504666233336,0.40466811405847597,4363
Medullary Thick Ascending Limb Cell,0.6402511340749529,0.18625751347911096,0.7038263356396945,3492
Mesangial Cell,0.6248384175626153,0.2663445492524477,0.7183745049865228,229
Monocyte-derived Cell,0.0845441697093185,0.31801712627612533,0.18522571886761888,1027
Myofibroblast,-0.313721478595142,0.147864269140998,-0.3215900935476112,696
Natural Killer Cell / Natural Killer T Cell,0.4314123891966372,0.24484672468731017,0.5367193124429421,569
Neutrophil,-0.3138205595637475,0.3398501364615234,-0.10994114326380112,89
Non-classical Monocyte,0.7233526393483518,0.18452458241164793,0.7792604119478341,241
Outer Medullary Collecting Duct Intercalated Cell Type A,0.6868827560392706,0.17693178564540188,0.7627041994361998,886
Outer Medullary Collecting Duct Principal Cell,0.5185174404158904,0.2637772219263503,0.6423078485558472,879
Papillary Tip Epithelial Cell,0.47128896927274644,0.21799279823573953,0.5373725725736602,399
Parietal Epithelial Cell,0.7963405745531514,0.2744432639026616,0.8654302669403544,776
Peritubular Capilary Endothelial Cell ,0.2687897891221815,0.27796767114785625,0.36113076664261545,4106
Plasma Cell,0.33222594461277144,0.41134385186052924,0.4964034752673814,120
Plasmacytoid Dendritic Cell,0.8105160720956391,0.11847772915040848,0.853753232841898,31
Podocyte,0.5109943139303117,0.258192122772155,0.6259474680487943,1061
Proximal Tubule Epithelial Cell Segment 1 / Segment 2,-0.1243244661296375,0.38542794709468664,-0.10001403959942812,8551
Proximal Tubule Epithelial Cell Segment 3,0.6503777886889766,0.21370140150302797,0.7216263974436673,2121
Renin-positive Juxtaglomerular Granular Cell,-0.10252611969798259,0.23735791782272853,-0.05651398008306759,60
Schwann Cell / Neural,0.7467250071658699,0.29442993489006036,0.8261249032752606,35
T Cell,0.23311716907073238,0.32511758896974435,0.3892715702710574,1718
Transitional Principal-Intercalated Cell,-0.39647905950133155,0.2544485853895448,-0.3855130339924663,167
Vascular Smooth Muscle Cell,0.15923000661074874,0.2206420835683938,0.2517449918299191,491
Vascular Smooth Muscle Cell / Pericyte,0.04111744268091533,0.300201657907558,0.09855574229874509,1425
